"Contig" "Length" "Chromosome_Position"
"Chr2_supercontig_000000726" 65458 622934701
"Chr2_supercontig_000000727" 73706 623008407
"Chr2_supercontig_000000728" 50447 623058854
"Chr2_supercontig_000000729" 193275 623252129
"Chr2_supercontig_000000730" 254615 623506744
"Chr2_supercontig_000000731" 80212 623586956
"Chr2_supercontig_000000732" 110924 623697880
"Chr2_supercontig_000000733" 30911 623728791
"Chr2_supercontig_000000734" 160871 623889662
"Chr2_supercontig_000000735" 134776 624024438
"Chr2_supercontig_000000736" 63508 624087946
"Chr2_supercontig_000000737" 3027 624090973
"Chr2_supercontig_000000738" 131461 624222434
"Chr2_supercontig_000000739" 50658 624273092
"Chr2_supercontig_000000740" 135810 624408902
"Chr2_supercontig_000000741" 127991 624536893
"Chr2_supercontig_000000742" 113245 624650138
"Chr2_supercontig_000000743" 134711 624784849
"Chr2_supercontig_000000744" 32208 624817057
"Chr2_supercontig_000000745" 221590 625038647
"Chr2_supercontig_000000746" 28171 625066818
"Chr2_supercontig_000000747" 317770 625384588
"Chr2_supercontig_000000748" 143199 625527787
"Chr2_supercontig_000000749" 215354 625743141
"Chr2_supercontig_000000750" 130848 625873989
"Chr2_supercontig_000000751" 222183 626096172
"Chr2_supercontig_000000752" 51320 626147492
"Chr2_supercontig_000000753" 90277 626237769
"Chr2_supercontig_000000754" 179979 626417748
"Chr2_supercontig_000000755" 64973 626482721
"Chr2_supercontig_000000756" 112321 626595042
"Chr2_supercontig_000000757" 24387 626619429
"Chr2_supercontig_000000758" 209471 626828900
"Chr2_supercontig_000000759" 124015 626952915
"Chr2_supercontig_000000760" 14937 626967852
"Chr2_supercontig_000000761" 284891 627252743
"Chr2_supercontig_000000762" 412238 627664981
"Chr2_supercontig_000000763" 7646 627672627
"Chr2_supercontig_000000764" 61476 627734103
"Chr2_supercontig_000000765" 17667 627751770
"Chr2_supercontig_000000766" 79711 627831481
"Chr2_supercontig_000000767" 5834 627837315
"Chr2_supercontig_000000768" 171941 628009256
"Chr2_supercontig_000000769" 100091 628109347
"Chr2_supercontig_000000770" 181189 628290536
"Chr2_supercontig_000000771" 10666 628301202
"Chr2_supercontig_000000772" 209603 628510805
"Chr2_supercontig_000000773" 139339 628650144
"Chr2_supercontig_000000774" 189530 628839674
"Chr2_supercontig_000000775" 31949 628871623
"Chr2_supercontig_000000776" 38671 628910294
"Chr2_supercontig_000000777" 120913 629031207
"Chr2_supercontig_000000778" 47520 629078727
"Chr2_supercontig_000000779" 40916 629119643
"Chr2_supercontig_000000780" 88516 629208159
"Chr2_supercontig_000000781" 11257 629219416
"Chr2_supercontig_000000782" 213715 629433131
"Chr2_supercontig_000000783" 192621 629625752
"Chr2_supercontig_000000784" 34099 629659851
"Chr2_supercontig_000000785" 26451 629686302
"Chr2_supercontig_000000786" 204785 629891087
"Chr2_supercontig_000000787" 94756 629985843
"Chr2_supercontig_000000788" 26378 630012221
"Chr2_supercontig_000000789" 85050 630097271
"Chr2_supercontig_000000790" 64293 630161564
"Chr2_supercontig_000000791" 113666 630275230
"Chr2_supercontig_000000792" 68091 630343321
"Chr2_supercontig_000000793" 114441 630457762
"Chr2_supercontig_000000794" 18376 630476138
"Chr2_supercontig_000000795" 77486 630553624
"Chr2_supercontig_000000796" 130886 630684510
"Chr2_supercontig_000000797" 216455 630900965
"Chr2_supercontig_000000798" 9467 630910432
"Chr2_supercontig_000000799" 33645 630944077
"Chr2_supercontig_000000800" 117283 631061360
"Chr2_supercontig_000000801" 14708 631076068
"Chr2_supercontig_000000802" 66821 631142889
"Chr2_supercontig_000000803" 82555 631225444
"Chr2_supercontig_000000804" 132574 631358018
"Chr2_supercontig_000000805" 118653 631476671
"Chr2_supercontig_000000806" 34329 631511000
"Chr2_supercontig_000000807" 155400 631666400
"Chr2_supercontig_000000808" 29567 631695967
"Chr2_supercontig_000000809" 46278 631742245
"Chr2_supercontig_000000810" 264411 632006656
"Chr2_supercontig_000000811" 79244 632085900
"Chr2_supercontig_000000812" 45988 632131888
"Chr2_supercontig_000000813" 79928 632211816
"Chr2_supercontig_000000814" 78137 632289953
"Chr2_supercontig_000000815" 2819 632292772
"Chr2_supercontig_000000816" 200342 632493114
"Chr2_supercontig_000000817" 64837 632557951
"Chr2_supercontig_000000818" 143032 632700983
"Chr2_supercontig_000000819" 100113 632801096
"Chr2_supercontig_000000820" 93129 632894225
"Chr2_supercontig_000000821" 22674 632916899
"Chr2_supercontig_000000822" 1508 632918407
"Chr2_supercontig_000000823" 89101 633007508
"Chr2_supercontig_000000824" 75881 633083389
"Chr2_supercontig_000000825" 26507 633109896
"Chr2_supercontig_000000826" 24020 633133916
"Chr2_supercontig_000000827" 20287 633154203
"Chr2_supercontig_000000828" 58429 633212632
"Chr2_supercontig_000000829" 101630 633314262
"Chr2_supercontig_000000830" 74950 633389212
"Chr2_supercontig_000000831" 10185 633399397
"Chr2_supercontig_000000832" 100957 633500354
"Chr2_supercontig_000000833" 1889 633502243
"Chr2_supercontig_000000834" 166597 633668840
"Chr2_supercontig_000000835" 24637 633693477
"Chr2_supercontig_000000836" 156760 633850237
"Chr2_supercontig_000000837" 303325 634153562
"Chr2_supercontig_000000838" 39455 634193017
"Chr2_supercontig_000000839" 140920 634333937
"Chr2_supercontig_000000840" 80864 634414801
"Chr2_supercontig_000000841" 168208 634583009
"Chr2_supercontig_000000842" 20528 634603537
"Chr2_supercontig_000000843" 178620 634782157
"Chr2_supercontig_000000844" 34741 634816898
"Chr2_supercontig_000000845" 118072 634934970
"Chr2_supercontig_000000846" 183441 635118411
"Chr2_supercontig_000000847" 77786 635196197
"Chr2_supercontig_000000848" 51642 635247839
"Chr2_supercontig_000000849" 59907 635307746
"Chr2_supercontig_000000850" 287380 635595126
"Chr2_supercontig_000000851" 17214 635612340
"Chr2_supercontig_000000852" 146483 635758823
"Chr2_supercontig_000000853" 47294 635806117
"Chr2_supercontig_000000854" 89992 635896109
"Chr2_supercontig_000000855" 122546 636018655
"Chr2_supercontig_000000856" 4235 636022890
"Chr2_supercontig_000000857" 11260 636034150
"Chr2_supercontig_000000858" 33355 636067505
"Chr2_supercontig_000000859" 86408 636153913
"Chr2_supercontig_000000860" 82521 636236434
"Chr2_supercontig_000000861" 75219 636311653
"Chr2_supercontig_000000862" 73970 636385623
"Chr2_supercontig_000000863" 78136 636463759
"Chr2_supercontig_000000864" 183607 636647366
"Chr2_supercontig_000000865" 17108 636664474
"Chr2_supercontig_000000866" 36307 636700781
"Chr2_supercontig_000000867" 106116 636806897
"Chr2_supercontig_000000868" 13717 636820614
"Chr2_supercontig_000000869" 94138 636914752
"Chr2_supercontig_000000870" 120371 637035123
"Chr2_supercontig_000000871" 127755 637162878
"Chr2_supercontig_000000872" 62530 637225408
"Chr2_supercontig_000000873" 136257 637361665
"Chr2_supercontig_000000874" 82393 637444058
"Chr2_supercontig_000000875" 200628 637644686
"Chr2_supercontig_000000876" 231180 637875866
"Chr2_supercontig_000000877" 176627 638052493
"Chr2_supercontig_000000878" 95446 638147939
"Chr2_supercontig_000000879" 28233 638176172
"Chr2_supercontig_000000880" 183159 638359331
"Chr2_supercontig_000000881" 84955 638444286
"Chr2_supercontig_000000882" 182535 638626821
"Chr2_supercontig_000000883" 38247 638665068
"Chr2_supercontig_000000884" 37821 638702889
"Chr2_supercontig_000000885" 82375 638785264
"Chr2_supercontig_000000886" 33425 638818689
"Chr2_supercontig_000000887" 30029 638848718
"Chr2_supercontig_000000888" 217920 639066638
"Chr2_supercontig_000000889" 25843 639092481
"Chr2_supercontig_000000890" 107786 639200267
"Chr2_supercontig_000000891" 17548 639217815
"Chr2_supercontig_000000892" 39488 639257303
"Chr2_supercontig_000000893" 63206 639320509
"Chr2_supercontig_000000894" 24927 639345436
"Chr2_supercontig_000000895" 47278 639392714
"Chr2_supercontig_000000896" 120804 639513518
"Chr2_supercontig_000000897" 401424 639914942
"Chr2_supercontig_000000898" 202975 640117917
"Chr2_supercontig_000000899" 99897 640217814
"Chr2_supercontig_000000900" 32237 640250051
"Chr2_supercontig_000000901" 130230 640380281
"Chr2_supercontig_000000902" 69802 640450083
"Chr2_supercontig_000000903" 66094 640516177
"Chr2_supercontig_000000904" 13650 640529827
"Chr2_supercontig_000000905" 116827 640646654
"Chr2_supercontig_000000906" 62380 640709034
"Chr2_supercontig_000000907" 36363 640745397
"Chr2_supercontig_000000908" 247489 640992886
"Chr2_supercontig_000000909" 26167 641019053
"Chr2_supercontig_000000910" 126864 641145917
"Chr2_supercontig_000000911" 7123 641153040
"Chr2_supercontig_000000912" 84464 641237504
"Chr2_supercontig_000000913" 339583 641577087
"Chr2_supercontig_000000914" 125249 641702336
"Chr2_supercontig_000000915" 220279 641922615
"Chr2_supercontig_000000916" 122500 642045115
"Chr2_supercontig_000000917" 39447 642084562
"Chr2_supercontig_000000918" 84803 642169365
"Chr2_supercontig_000000919" 199584 642368949
"Chr2_supercontig_000000920" 43372 642412321
"Chr2_supercontig_000000921" 150072 642562393
"Chr2_supercontig_000000922" 29484 642591877
"Chr2_supercontig_000000923" 23753 642615630
"Chr2_supercontig_000000924" 91453 642707083
"Chr2_supercontig_000000925" 44134 642751217
"Chr2_supercontig_000000926" 91194 642842411
"Chr2_supercontig_000000927" 87809 642930220
"Chr2_supercontig_000000928" 80676 643010896
"Chr2_supercontig_000000929" 38089 643048985
"Chr2_supercontig_000000930" 35681 643084666
"Chr2_supercontig_000000931" 358980 643443646
"Chr2_supercontig_000000932" 103348 643546994
"Chr2_supercontig_000000933" 127876 643674870
"Chr2_supercontig_000000934" 121885 643796755
"Chr2_supercontig_000000935" 139780 643936535
"Chr2_supercontig_000000936" 113134 644049669
"Chr2_supercontig_000000937" 32801 644082470
"Chr2_supercontig_000000938" 152802 644235272
"Chr2_supercontig_000000939" 162893 644398165
"Chr2_supercontig_000000940" 80393 644478558
"Chr2_supercontig_000000941" 86685 644565243
"Chr2_supercontig_000000942" 39752 644604995
"Chr2_supercontig_000000943" 57492 644662487
"Chr2_supercontig_000000944" 40550 644703037
"Chr2_supercontig_000000945" 222078 644925115
"Chr2_supercontig_000000946" 105950 645031065
"Chr2_supercontig_000000947" 193628 645224693
"Chr2_supercontig_000000948" 37935 645262628
"Chr2_supercontig_000000949" 197292 645459920
"Chr2_supercontig_000000950" 141683 645601603
"Chr2_supercontig_000000951" 50225 645651828
"Chr2_supercontig_000000952" 86178 645738006
"Chr2_supercontig_000000953" 12749 645750755
"Chr2_supercontig_000000954" 165444 645916199
"Chr2_supercontig_000000955" 36458 645952657
"Chr2_supercontig_000000956" 120531 646073188
"Chr2_supercontig_000000957" 134182 646207370
"Chr2_supercontig_000000958" 39929 646247299
"Chr2_supercontig_000000959" 267260 646514559
"Chr2_supercontig_000000960" 105127 646619686
"Chr2_supercontig_000000961" 148671 646768357
"Chr2_supercontig_000000962" 139607 646907964
"Chr2_supercontig_000000963" 47983 646955947
"Chr2_supercontig_000000964" 24515 646980462
"Chr2_supercontig_000000965" 52641 647033103
"Chr2_supercontig_000000966" 272798 647305901
"Chr2_supercontig_000000967" 96197 647402098
"Chr2_supercontig_000000968" 30569 647432667
"Chr2_supercontig_000000969" 239986 647672653
"Chr2_supercontig_000000970" 252371 647925024
"Chr2_supercontig_000000971" 74414 647999438
"Chr2_supercontig_000000972" 24289 648023727
"Chr2_supercontig_000000973" 200036 648223763
"Chr2_supercontig_000000974" 53221 648276984
"Chr2_supercontig_000000975" 53571 648330555
"Chr2_supercontig_000000976" 34105 648364660
"Chr2_supercontig_000000977" 58772 648423432
"Chr2_supercontig_000000978" 182246 648605678
"Chr2_supercontig_000000979" 117840 648723518
"Chr2_supercontig_000000980" 24016 648747534
"Chr2_supercontig_000000981" 43995 648791529
"Chr2_supercontig_000000982" 36454 648827983
"Chr2_supercontig_000000983" 63782 648891765
"Chr2_supercontig_000000984" 53448 648945213
"Chr2_supercontig_000000985" 33483 648978696
"Chr2_supercontig_000000986" 76760 649055456
"Chr2_supercontig_000000987" 116228 649171684
"Chr2_supercontig_000000988" 31736 649203420
"Chr2_supercontig_000000989" 93461 649296881
"Chr2_supercontig_000000990" 122220 649419101
"Chr2_supercontig_000000991" 91203 649510304
"Chr2_supercontig_000000992" 86648 649596952
"Chr2_supercontig_000000993" 105875 649702827
"Chr2_supercontig_000000994" 104746 649807573
"Chr2_supercontig_000000995" 62922 649870495
"Chr2_supercontig_000000996" 58924 649929419
"Chr2_supercontig_000000997" 136399 650065818
"Chr2_supercontig_000000998" 57903 650123721
"Chr2_supercontig_000000999" 34307 650158028
"Chr2_supercontig_000001000" 114801 650272829
"Chr2_supercontig_000001001" 74710 650347539
"Chr2_supercontig_000001002" 188411 650535950
"Chr2_supercontig_000001003" 156524 650692474
"Chr2_supercontig_000001004" 51635 650744109
"Chr2_supercontig_000001005" 14194 650758303
"Chr2_supercontig_000001006" 87840 650846143
"Chr2_supercontig_000001007" 149514 650995657
"Chr2_supercontig_000001008" 63790 651059447
"Chr2_supercontig_000001009" 32254 651091701
"Chr2_supercontig_000001010" 64275 651155976
"Chr2_supercontig_000001011" 58237 651214213
"Chr2_supercontig_000001012" 128301 651342514
"Chr2_supercontig_000001013" 26317 651368831
"Chr2_supercontig_000001014" 52710 651421541
"Chr2_supercontig_000001015" 180893 651602434
"Chr2_supercontig_000001016" 140009 651742443
"Chr2_supercontig_000001017" 85947 651828390
"Chr2_supercontig_000001018" 78483 651906873
"Chr2_supercontig_000001019" 53513 651960386
"Chr2_supercontig_000001020" 32998 651993384
"Chr2_supercontig_000001021" 30363 652023747
"Chr2_supercontig_000001022" 46911 652070658
"Chr2_supercontig_000001023" 21016 652091674
"Chr2_supercontig_000001024" 64469 652156143
"Chr2_supercontig_000001025" 62570 652218713
"Chr2_supercontig_000001026" 134677 652353390
"Chr2_supercontig_000001027" 44468 652397858
"Chr2_supercontig_000001028" 89564 652487422
"Chr2_supercontig_000001029" 169561 652656983
"Chr2_supercontig_000001030" 60668 652717651
"Chr2_supercontig_000001031" 37197 652754848
"Chr2_supercontig_000001032" 20684 652775532
"Chr2_supercontig_000001033" 80453 652855985
"Chr2_supercontig_000001034" 38821 652894806
"Chr2_supercontig_000001035" 25977 652920783
"Chr2_supercontig_000001036" 107311 653028094
"Chr2_supercontig_000001037" 268679 653296773
"Chr2_supercontig_000001038" 9992 653306765
"Chr2_supercontig_000001039" 195867 653502632
"Chr2_supercontig_000001040" 95280 653597912
"Chr2_supercontig_000001041" 61390 653659302
"Chr2_supercontig_000001042" 104809 653764111
"Chr2_supercontig_000001043" 47535 653811646
"Chr2_supercontig_000001044" 250884 654062530
"Chr2_supercontig_000001045" 96563 654159093
"Chr2_supercontig_000001046" 428606 654587699
"Chr2_supercontig_000001047" 23094 654610793
"Chr2_supercontig_000001048" 11984 654622777
"Chr2_supercontig_000001049" 32335 654655112
"Chr2_supercontig_000001050" 61141 654716253
"Chr2_supercontig_000001051" 45329 654761582
"Chr2_supercontig_000001052" 4106 654765688
"Chr2_supercontig_000001053" 76928 654842616
"Chr2_supercontig_000001054" 152596 654995212
"Chr2_supercontig_000001055" 144773 655139985
"Chr2_supercontig_000001056" 270121 655410106
"Chr2_supercontig_000001057" 252946 655663052
"Chr2_supercontig_000001058" 71275 655734327
"Chr2_supercontig_000001059" 121189 655855516
"Chr2_supercontig_000001060" 33633 655889149
"Chr2_supercontig_000001061" 176766 656065915
"Chr2_supercontig_000001062" 168908 656234823
"Chr2_supercontig_000001063" 23770 656258593
"Chr2_supercontig_000001064" 53578 656312171
"Chr2_supercontig_000001065" 81609 656393780
"Chr2_supercontig_000001066" 32710 656426490
"Chr2_supercontig_000001067" 25728 656452218
"Chr2_supercontig_000001068" 134866 656587084
"Chr2_supercontig_000001069" 1581 656588665
"Chr2_supercontig_000001070" 103591 656692256
"Chr2_supercontig_000001071" 122497 656814753
"Chr2_supercontig_000001072" 47565 656862318
"Chr2_supercontig_000001073" 64275 656926593
"Chr2_supercontig_000001074" 54507 656981100
"Chr2_supercontig_000001075" 153735 657134835
"Chr2_supercontig_000001076" 24647 657159482
"Chr2_supercontig_000001077" 32668 657192150
"Chr2_supercontig_000001078" 7420 657199570
"Chr2_supercontig_000001079" 74816 657274386
"Chr2_supercontig_000001080" 62967 657337353
"Chr2_supercontig_000001081" 205074 657542427
"Chr2_supercontig_000001082" 57626 657600053
"Chr2_supercontig_000001083" 39853 657639906
"Chr2_supercontig_000001084" 263787 657903693
"Chr2_supercontig_000001085" 105276 658008969
"Chr2_supercontig_000001086" 68987 658077956
"Chr2_supercontig_000001087" 36967 658114923
"Chr2_supercontig_000001088" 73007 658187930
"Chr2_supercontig_000001089" 175544 658363474
"Chr2_supercontig_000001090" 136588 658500062
"Chr2_supercontig_000001091" 18533 658518595
"Chr2_supercontig_000001092" 38836 658557431
"Chr2_supercontig_000001093" 53828 658611259
"Chr2_supercontig_000001094" 54125 658665384
"Chr2_supercontig_000001095" 222425 658887809
"Chr2_supercontig_000001096" 59864 658947673
"Chr2_supercontig_000001097" 156654 659104327
"Chr2_supercontig_000001098" 75977 659180304
"Chr2_supercontig_000001099" 100415 659280719
"Chr2_supercontig_000001100" 93687 659374406
"Chr2_supercontig_000001101" 29795 659404201
"Chr2_supercontig_000001102" 229132 659633333
"Chr2_supercontig_000001103" 4762 659638095
"Chr2_supercontig_000001104" 25336 659663431
"Chr2_supercontig_000001105" 94436 659757867
"Chr2_supercontig_000001106" 8504 659766371
"Chr2_supercontig_000001107" 39608 659805979
"Chr2_supercontig_000001108" 71966 659877945
"Chr2_supercontig_000001109" 49029 659926974
"Chr2_supercontig_000001110" 122305 660049279
"Chr2_supercontig_000001111" 20548 660069827
"Chr2_supercontig_000001112" 45226 660115053
"Chr2_supercontig_000001113" 66625 660181678
"Chr2_supercontig_000001114" 13436 660195114
"Chr2_supercontig_000001115" 177659 660372773
"Chr2_supercontig_000001116" 91906 660464679
"Chr2_supercontig_000001117" 11116 660475795
"Chr2_supercontig_000001118" 71047 660546842
"Chr2_supercontig_000001119" 56712 660603554
"Chr2_supercontig_000001120" 27940 660631494
"Chr2_supercontig_000001121" 53488 660684982
"Chr2_supercontig_000001122" 53048 660738030
"Chr2_supercontig_000001123" 19391 660757421
"Chr2_supercontig_000001124" 39780 660797201
"Chr2_supercontig_000001125" 70982 660868183
"Chr2_supercontig_000001126" 30257 660898440
"Chr2_supercontig_000001127" 28541 660926981
"Chr2_supercontig_000001128" 26745 660953726
"Chr2_supercontig_000001129" 43350 660997076
"Chr2_supercontig_000001130" 113541 661110617
"Chr2_supercontig_000001131" 88696 661199313
"Chr2_supercontig_000001132" 54314 661253627
"Chr2_supercontig_000001133" 15863 661269490
"Chr2_supercontig_000001134" 85877 661355367
"Chr2_supercontig_000001135" 55902 661411269
"Chr2_supercontig_000001136" 28566 661439835
"Chr2_supercontig_000001137" 94630 661534465
"Chr2_supercontig_000001138" 58469 661592934
"Chr2_supercontig_000001139" 92008 661684942
"Chr2_supercontig_000001140" 142170 661827112
"Chr2_supercontig_000001141" 134160 661961272
"Chr2_supercontig_000001142" 34115 661995387
"Chr2_supercontig_000001143" 138777 662134164
"Chr2_supercontig_000001144" 73421 662207585
"Chr2_supercontig_000001145" 139953 662347538
"Chr2_supercontig_000001146" 35663 662383201
"Chr2_supercontig_000001147" 180510 662563711
"Chr2_supercontig_000001148" 158796 662722507
"Chr2_supercontig_000001149" 172159 662894666
"Chr2_supercontig_000001150" 22344 662917010
"Chr2_supercontig_000001151" 94635 663011645
"Chr2_supercontig_000001152" 78137 663089782
"Chr2_supercontig_000001153" 114128 663203910
"Chr2_supercontig_000001154" 25504 663229414
"Chr2_supercontig_000001155" 121953 663351367
"Chr2_supercontig_000001156" 39746 663391113
"Chr2_supercontig_000001157" 39526 663430639
"Chr2_supercontig_000001158" 58728 663489367
"Chr2_supercontig_000001159" 53055 663542422
"Chr2_supercontig_000001160" 330247 663872669
"Chr2_supercontig_000001161" 60788 663933457
"Chr2_supercontig_000001162" 150981 664084438
"Chr2_supercontig_000001163" 645173 664729611
"Chr2_supercontig_000001164" 210812 664940423
"Chr2_supercontig_000001165" 122446 665062869
"Chr2_supercontig_000001166" 136737 665199606
"Chr2_supercontig_000001167" 90498 665290104
"Chr2_supercontig_000001168" 45844 665335948
"Chr2_supercontig_000001169" 71580 665407528
"Chr2_supercontig_000001170" 64912 665472440
"Chr2_supercontig_000001171" 430143 665902583
"Chr2_supercontig_000001172" 141405 666043988
"Chr2_supercontig_000001173" 64612 666108600
"Chr2_supercontig_000001174" 41572 666150172
"Chr2_supercontig_000001175" 33651 666183823
"Chr2_supercontig_000001176" 90270 666274093
"Chr2_supercontig_000001177" 26670 666300763
"Chr2_supercontig_000001178" 143070 666443833
"Chr2_supercontig_000001179" 189879 666633712
"Chr2_supercontig_000001180" 61009 666694721
"Chr2_supercontig_000001181" 35440 666730161
"Chr2_supercontig_000001182" 111869 666842030
"Chr2_supercontig_000001183" 4232 666846262
"Chr2_supercontig_000001184" 165331 667011593
"Chr2_supercontig_000001185" 222309 667233902
"Chr2_supercontig_000001186" 67600 667301502
"Chr2_supercontig_000001187" 20877 667322379
"Chr2_supercontig_000001188" 26843 667349222
"Chr2_supercontig_000001189" 74522 667423744
"Chr2_supercontig_000001190" 38415 667462159
"Chr2_supercontig_000001191" 63233 667525392
"Chr2_supercontig_000001192" 61291 667586683
"Chr2_supercontig_000001193" 91171 667677854
"Chr2_supercontig_000001194" 39921 667717775
"Chr2_supercontig_000001195" 84321 667802096
"Chr2_supercontig_000001196" 56735 667858831
"Chr2_supercontig_000001197" 63053 667921884
"Chr2_supercontig_000001198" 87062 668008946
"Chr2_supercontig_000001199" 137551 668146497
"Chr2_supercontig_000001200" 46755 668193252
"Chr2_supercontig_000001201" 55142 668248394
"Chr2_supercontig_000001202" 20388 668268782
"Chr2_supercontig_000001203" 87275 668356057
"Chr2_supercontig_000001204" 73180 668429237
"Chr2_supercontig_000001205" 13019 668442256
"Chr2_supercontig_000001206" 16164 668458420
"Chr2_supercontig_000001207" 95034 668553454
"Chr2_supercontig_000001208" 33557 668587011
"Chr2_supercontig_000001209" 21786 668608797
"Chr2_supercontig_000001210" 125876 668734673
"Chr2_supercontig_000001211" 101058 668835731
"Chr2_supercontig_000001212" 158777 668994508
"Chr2_supercontig_000001213" 141820 669136328
"Chr2_supercontig_000001214" 29381 669165709
"Chr2_supercontig_000001215" 31366 669197075
"Chr2_supercontig_000001216" 53793 669250868
"Chr2_supercontig_000001217" 144498 669395366
"Chr2_supercontig_000001218" 59477 669454843
"Chr2_supercontig_000001219" 140020 669594863
"Chr2_supercontig_000001220" 105373 669700236
"Chr2_supercontig_000001221" 46226 669746462
"Chr2_supercontig_000001222" 270712 670017174
"Chr2_supercontig_000001223" 38481 670055655
"Chr2_supercontig_000001224" 56535 670112190
"Chr2_supercontig_000001225" 42922 670155112
"Chr2_supercontig_000001226" 63533 670218645
"Chr2_supercontig_000001227" 20054 670238699
"Chr2_supercontig_000001228" 55161 670293860
"Chr2_supercontig_000001229" 110596 670404456
"Chr2_supercontig_000001230" 92461 670496917
"Chr2_supercontig_000001231" 53351 670550268
"Chr2_supercontig_000001232" 49280 670599548
"Chr2_supercontig_000001233" 53492 670653040
"Chr2_supercontig_000001234" 28311 670681351
"Chr2_supercontig_000001235" 116738 670798089
"Chr2_supercontig_000001236" 97394 670895483
"Chr2_supercontig_000001237" 16754 670912237
"Chr2_supercontig_000001238" 103238 671015475
"Chr2_supercontig_000001239" 51244 671066719
"Chr2_supercontig_000001240" 28595 671095314
"Chr2_supercontig_000001241" 70280 671165594
"Chr2_supercontig_000001242" 56563 671222157
"Chr2_supercontig_000001243" 30394 671252551
"Chr2_supercontig_000001244" 65588 671318139
"Chr2_supercontig_000001245" 23433 671341572
"Chr2_supercontig_000001246" 132601 671474173
"Chr2_supercontig_000001247" 44461 671518634
"Chr2_supercontig_000001248" 100886 671619520
"Chr2_supercontig_000001249" 97334 671716854
"Chr2_supercontig_000001250" 74427 671791281
"Chr2_supercontig_000001251" 55753 671847034
"Chr2_supercontig_000001252" 39205 671886239
"Chr2_supercontig_000001253" 28057 671914296
"Chr2_supercontig_000001254" 167843 672082139
"Chr2_supercontig_000001255" 50255 672132394
"Chr2_supercontig_000001256" 52491 672184885
"Chr2_supercontig_000001257" 51567 672236452
"Chr2_supercontig_000001258" 105840 672342292
"Chr2_supercontig_000001259" 89240 672431532
"Chr2_supercontig_000001260" 31298 672462830
"Chr2_supercontig_000001261" 52411 672515241
"Chr2_supercontig_000001262" 60438 672575679
"Chr2_supercontig_000001263" 32891 672608570
"Chr2_supercontig_000001264" 100691 672709261
"Chr2_supercontig_000001265" 23210 672732471
"Chr2_supercontig_000001266" 41278 672773749
"Chr2_supercontig_000001267" 36442 672810191
"Chr2_supercontig_000001268" 190621 673000812
"Chr2_supercontig_000001269" 85111 673085923
"Chr2_supercontig_000001270" 23652 673109575
"Chr2_supercontig_000001271" 6519 673116094
"Chr2_supercontig_000001272" 133004 673249098
"Chr2_supercontig_000001273" 67492 673316590
"Chr2_supercontig_000001274" 73759 673390349
"Chr2_supercontig_000001275" 164842 673555191
"Chr2_supercontig_000001276" 30665 673585856
"Chr2_supercontig_000001277" 13701 673599557
"Chr2_supercontig_000001278" 140528 673740085
"Chr2_supercontig_000001279" 17392 673757477
"Chr2_supercontig_000001280" 37992 673795469
"Chr2_supercontig_000001281" 52121 673847590
"Chr2_supercontig_000001282" 75300 673922890
"Chr2_supercontig_000001283" 54601 673977491
"Chr2_supercontig_000001284" 47179 674024670
"Chr2_supercontig_000001285" 51715 674076385
"Chr2_supercontig_000001286" 70825 674147210
"Chr2_supercontig_000001287" 31685 674178895
"Chr2_supercontig_000001288" 13611 674192506
"Chr2_supercontig_000001289" 63833 674256339
"Chr2_supercontig_000001290" 44319 674300658
"Chr2_supercontig_000001291" 99849 674400507
"Chr2_supercontig_000001292" 24645 674425152
"Chr2_supercontig_000001293" 97073 674522225
"Chr2_supercontig_000001294" 202123 674724348
"Chr2_supercontig_000001295" 29053 674753401
"Chr2_supercontig_000001296" 112715 674866116
"Chr2_supercontig_000001297" 3595 674869711
"Chr2_supercontig_000001298" 43788 674913499
"Chr2_supercontig_000001299" 78612 674992111
"Chr2_supercontig_000001300" 57371 675049482
"Chr2_supercontig_000001301" 39318 675088800
"Chr2_supercontig_000001302" 4736 675093536
"Chr2_supercontig_000001303" 27420 675120956
"Chr2_supercontig_000001304" 18650 675139606
"Chr2_supercontig_000001305" 97679 675237285
"Chr2_supercontig_000001306" 173377 675410662
"Chr2_supercontig_000001307" 8170 675418832
"Chr2_supercontig_000001308" 59778 675478610
"Chr2_supercontig_000001309" 19866 675498476
"Chr2_supercontig_000001310" 30326 675528802
"Chr2_supercontig_000001311" 180124 675708926
"Chr2_supercontig_000001312" 115777 675824703
"Chr2_supercontig_000001313" 24931 675849634
"Chr2_supercontig_000001314" 44267 675893901
"Chr2_supercontig_000001315" 87467 675981368
"Chr2_supercontig_000001316" 86773 676068141
"Chr2_supercontig_000001317" 8165 676076306
"Chr2_supercontig_000001318" 65258 676141564
"Chr2_supercontig_000001319" 82594 676224158
"Chr2_supercontig_000001320" 47145 676271303
"Chr2_supercontig_000001321" 74475 676345778
"Chr2_supercontig_000001322" 31427 676377205
"Chr2_supercontig_000001323" 34708 676411913
"Chr2_supercontig_000001324" 51718 676463631
"Chr2_supercontig_000001325" 43844 676507475
"Chr2_supercontig_000001326" 30465 676537940
"Chr2_supercontig_000001327" 273082 676811022
"Chr2_supercontig_000001328" 37490 676848512
"Chr2_supercontig_000001329" 59581 676908093
"Chr2_supercontig_000001330" 40753 676948846
"Chr2_supercontig_000001331" 29089 676977935
"Chr2_supercontig_000001332" 67035 677044970
